GeneID	fed	fed	fed	fed	starved	starved	starved	starved
BthD	10	1	4	3	2	11	1	7
Btk29A	65	43	55	52	48	111	34	77
btl	31	11	14	15	21	51	3	33
btn	4	0	0	0	0	3	0	4
Btnd	7	2	11	2	6	11	1	20
btsz	94	79	77	61	75	110	54	62
btv	49	14	43	9	46	92	5	48
btz	13	24	20	20	20	31	13	27
Bub1	29	18	25	11	15	44	6	19
Bub3	9	11	7	3	7	15	4	13
BubR1	23	2	21	8	16	59	6	33
Buffy	27	3	19	8	7	24	6	20
bug	19	19	15	17	14	19	14	19
Bug22	9	8	5	4	7	9	9	10
BuGZ	68	67	46	77	67	85	57	53
bun	153	172	126	169	136	141	153	105
bur	24	79	29	70	25	58	21	26
Burs	2	0	6	0	3	7	0	3
bves	67	78	55	72	65	107	52	66
bw	29	39	26	31	30	44	24	34
bwa	23	31	31	37	26	41	20	43
Bx	108	108	93	117	103	118	66	91
Bx42	133	112	99	144	117	110	72	112
bxd	28	7	42	11	35	92	7	47
by	17	39	24	25	23	29	8	25
byn	10	0	18	2	9	20	5	23
bys	20	21	14	20	17	21	6	19
c-cup	1	0	4	0	2	8	0	7
c(2)M	16	6	18	9	10	20	5	17
c(3)G	16	5	5	1	6	15	2	14
c11.1	41	26	34	20	20	56	17	38
c12.1	17	33	17	24	9	24	11	21
c12.2	31	31	26	29	27	38	10	38
C15	32	3	26	3	12	56	5	26
C1GalTA	49	24	41	31	35	64	19	48
C3G	127	93	85	92	74	107	80	125
C901	8	7	8	8	6	23	4	15
